NasDaqopen,NasDaqClose,NasdaqLow,NasdaqHigh,NasdaqVolume,Date,Open,High,Low,Volume,MarketCap,Close
3284.07,3279.26,3268.03,3287.48,1721970000.00,4/28/2013,135.3,135.98,132.1,0,1488566728,134.21
3290.31,3315.33,3289.42,3307.02,1594110000.00,4/29/2013,134.44,147.49,134,0,1603768865,144.54
3308.05,3328.79,3298.58,3328.79,1984270000.00,4/30/2013,144,146.93,134.05,0,1542813125,139
3325.35,3330.02,3296.50,3299.13,1884600000.00,5/1/2013,139,139.89,107.72,0,1298954594,116.99
3306.15,3344.90,3305.81,3340.62,1757480000.00,5/2/2013,116.38,125.6,92.28,0,1168517495,105.21
3371.41,3388.12,3370.30,3378.63,1745570000.00,5/3/2013,106.25,108.13,79.1,0,1085995169,97.75
3382.33,3396.21,3381.44,3392.97,1500410000.00,5/4/2013,98.1,115,92.5,0,1250316563,112.5
3382.33,3396.21,3381.44,3392.97,1500410000.00,5/5/2013,112.9,118.8,107.14,0,1288693176,115.91
3382.33,3396.21,3381.44,3392.97,1500410000.00,5/6/2013,115.98,124.66,106.64,0,1249023060,112.3
3398.84,3402.24,3381.04,3396.63,1709800000.00,5/7/2013,112.25,113.44,97.7,0,1240593600,111.5
3394.89,3413.27,3389.80,3413.27,1756400000.00,5/8/2013,109.6,115.78,109.6,0,1264049202,113.57
3408.94,3428.54,3403.43,3409.17,1826220000.00,5/9/2013,113.2,113.46,109.26,0,1254535382,112.67
3414.84,3436.60,3411.59,3436.58,1689730000.00,5/10/2013,112.8,122,111.55,0,1305479080,117.2
3429.53,3447.10,3426.67,3438.79,1615510000.00,5/11/2013,117.7,118.68,113.01,0,1284207489,115.24
3429.53,3447.10,3426.67,3438.79,1615510000.00,5/12/2013,115.64,117.45,113.43,0,1281982625,115
3429.53,3447.10,3426.67,3438.79,1615510000.00,5/13/2013,114.82,118.7,114.5,0,1315710011,117.98
3439.72,3468.67,3439.72,3462.61,1820520000.00,5/14/2013,117.98,119.8,110.25,0,1243874488,111.5
3455.67,3475.48,3452.31,3471.62,1843910000.00,5/15/2013,111.4,115.81,103.5,0,1274623813,114.22
3473.16,3485.95,3462.24,3465.24,1945760000.00,5/16/2013,114.22,118.76,112.2,0,1325726787,118.76
3483.41,3499.20,3473.04,3498.97,1828610000.00,5/17/2013,118.21,125.3,116.57,0,1373723882,123.01
3490.46,3509.41,3488.13,3496.43,1745260000.00,5/18/2013,123.5,125.25,122.3,0,1379574546,123.5
3490.46,3509.41,3488.13,3496.43,1745260000.00,5/19/2013,123.21,124.5,119.57,0,1363204703,121.99
3490.46,3509.41,3488.13,3496.43,1745260000.00,5/20/2013,122.5,123.62,120.12,0,1363709900,122
3495.46,3512.15,3486.88,3502.12,1776780000.00,5/21/2013,122.02,123,121.21,0,1374013440,122.88
3503.48,3532.04,3446.96,3463.30,2179330000.00,5/22/2013,122.89,124,122,0,1385778993,123.89
3426.07,3467.13,3422.51,3459.42,1820670000.00,5/23/2013,123.8,126.93,123.1,0,1417769833,126.7
3438.28,3459.47,3429.31,3459.14,1449210000.00,5/24/2013,126.3,133.85,125.72,0,1491070770,133.2
3497.90,3514.80,3475.39,3488.89,1748070000.00,5/25/2013,133.1,133.22,128.9,0,1477958233,131.98
3497.90,3514.80,3475.39,3488.89,1748070000.00,5/26/2013,131.99,136,130.62,0,1495293015,133.48
3497.90,3514.80,3475.39,3488.89,1748070000.00,5/27/2013,133.5,135.46,124.7,0,1454029510,129.74
3497.90,3514.80,3475.39,3488.89,1748070000.00,5/28/2013,129.77,130.58,125.6,0,1446189975,129
3471.67,3479.53,3450.40,3467.52,1794650000.00,5/29/2013,129,132.59,127.66,0,1483734578,132.3
3473.21,3503.82,3473.04,3491.30,1737320000.00,5/30/2013,132.25,132.25,127,0,1445053941,128.8
3478.22,3500.67,3455.84,3455.91,1968270000.00,5/31/2013,128.8,129.9,126.4,0,1447870200,129
3460.76,3465.84,3419.39,3465.37,2054100000.00,6/1/2013,128.82,129.78,127.2,0,1451916165,129.3
3460.76,3465.84,3419.39,3465.37,2054100000.00,6/2/2013,129.3,129.4,115.05,0,1373837500,122.29
3460.76,3465.84,3419.39,3465.37,2054100000.00,6/3/2013,122.5,122.5,116,0,1373708058,122.22
3467.02,3482.75,3430.02,3445.26,1871640000.00,6/4/2013,120.74,123.84,119.1,0,1365337545,121.42
3432.85,3446.15,3397.91,3401.48,1813890000.00,6/5/2013,121.4,123.47,119.9,0,1368486469,121.65
3404.41,3424.05,3378.24,3424.05,1802700000.00,6/6/2013,121.9,123.1,117.25,0,1327960200,118
3437.84,3471.73,3429.43,3469.22,1646810000.00,6/7/2013,118.97,119,106.42,0,1255258638,111.5
3475.68,3484.81,3465.54,3473.77,1556520000.00,6/8/2013,111,111.42,107.3,0,1219717920,108.3
3475.68,3484.81,3465.54,3473.77,1556520000.00,6/9/2013,107.89,108.99,88.5,0,1126642500,100
3475.68,3484.81,3465.54,3473.77,1556520000.00,6/10/2013,100.44,110.1,95,0,1198638945,106.35
3436.62,3466.57,3426.57,3436.95,1560370000.00,6/11/2013,106.35,109.6,104,0,1227874725,108.9
3458.14,3459.18,3395.91,3400.43,1630200000.00,6/12/2013,109,111.79,106.73,0,1219969853,108.15
3398.54,3451.03,3387.61,3445.36,1584740000.00,6/13/2013,108.78,110.3,100.53,0,1173637400,104
3442.31,3448.40,3419.32,3423.56,1458030000.00,6/14/2013,103.95,104.7,98,0,1128709292,99.98
3449.97,3468.56,3436.34,3452.13,1581830000.00,6/15/2013,100,103.7,98,0,1129245604,99.99
3449.97,3468.56,3436.34,3452.13,1581830000.00,6/16/2013,99.8,101.6,98.95,0,1124306272,99.51
3449.97,3468.56,3436.34,3452.13,1581830000.00,6/17/2013,99.9,102.21,99,0,1149418485,101.7
3456.29,3488.31,3456.09,3482.18,1675090000.00,6/18/2013,101.95,111.11,101.03,0,1214216070,107.4
3483.59,3485.45,3443.20,3443.20,1649200000.00,6/19/2013,107.05,110.22,105.75,0,1224193838,108.25
3405.14,3412.94,3355.93,3364.64,2041500000.00,6/20/2013,108.25,114.3,107.5,0,1246104920,110.15
3367.81,3377.30,3326.86,3357.25,2921900000.00,6/21/2013,111.29,114.99,107.68,0,1239214238,109.5
3326.38,3344.66,3294.95,3320.76,2030960000.00,6/22/2013,109.5,109.96,107.51,0,1226110328,108.3
3326.38,3344.66,3294.95,3320.76,2030960000.00,6/23/2013,108.2,108.8,106.23,0,1218626490,107.6
3326.38,3344.66,3294.95,3320.76,2030960000.00,6/24/2013,107.9,108.33,100.98,0,1163935726,102.74
3350.59,3358.31,3327.69,3347.89,1657280000.00,6/25/2013,102.09,106.47,101.01,0,1178086140,103.95
3375.70,3383.70,3365.48,3376.22,1671280000.00,6/26/2013,103.33,105.49,102.79,0,1179105200,104
3395.79,3412.79,3395.41,3401.86,1689800000.00,6/27/2013,104,104,101.1,0,1150468023,101.44
3389.30,3422.20,3382.75,3403.25,3630410000.00,6/28/2013,101.74,101.74,92.33,0,1073887457,94.65
3430.48,3454.43,3430.31,3434.49,1586750000.00,6/29/2013,94.66,99.99,93,0,1078198524,94.99
3430.48,3454.43,3430.31,3434.49,1586750000.00,6/30/2013,95,98.12,94.22,0,1096957771,96.61
3430.48,3454.43,3430.31,3434.49,1586750000.00,7/1/2013,97.51,97.66,86.3,0,1000065296,88.05
3430.69,3453.29,3415.23,3433.40,1685190000.00,7/2/2013,88.05,92.3,87.51,0,1024082228,90.13
3420.27,3455.42,3417.88,3443.67,935980000.00,7/3/2013,90.4,90.98,76.98,0,881233116,77.53
3468.48,3479.46,3441.78,3479.38,1254400000.00,7/4/2013,78.89,83.11,72,0,915618609,80.53
3468.48,3479.46,3441.78,3479.38,1254400000.00,7/5/2013,79.99,80,65.53,0,778411179,68.43
3493.81,3495.51,3475.39,3484.83,1521720000.00,7/6/2013,68.5,75,66.82,0,799741619,70.28
3493.81,3495.51,3475.39,3484.83,1521720000.00,7/7/2013,68.75,74.56,66.62,0,848838979,74.56
3493.81,3495.51,3475.39,3484.83,1521720000.00,7/8/2013,76.5,80,72.6,0,871457940,76.52
3501.25,3508.81,3484.79,3504.26,1633520000.00,7/9/2013,76,78.3,72.52,0,873841849,76.69
3502.11,3522.99,3502.00,3520.76,1567340000.00,7/10/2013,76.72,87,76.2,0,988957719,86.76
3557.79,3579.29,3552.52,3578.30,1744210000.00,7/11/2013,88,90.28,85.08,0,1014650063,88.98
3579.58,3600.08,3576.57,3600.08,1615820000.00,7/12/2013,88.98,104,88.17,0,1067634684,93.59
3601.09,3609.59,3591.54,3607.49,1449130000.00,7/13/2013,93.99,98.25,88.06,0,1119796120,98.13
3601.09,3609.59,3591.54,3607.49,1449130000.00,7/14/2013,98.7,98.7,92.86,0,1080917760,94.69
3601.09,3609.59,3591.54,3607.49,1449130000.00,7/15/2013,93.61,101.9,93.11,0,1123658944,98.4
3611.00,3611.35,3589.65,3598.50,1590540000.00,7/16/2013,98.89,99.86,96.14,0,1113217032,97.45
3608.13,3615.79,3600.69,3610.00,1564340000.00,7/17/2013,96.71,99.97,96.18,0,1125658000,98.5
3610.03,3624.54,3607.09,3611.28,1719390000.00,7/18/2013,98.5,98.8,86.2,0,1035512825,90.58
3581.90,3589.05,3578.57,3587.61,1785460000.00,7/19/2013,90.07,95.2,87.8,0,1054083771,92.17
3599.87,3601.92,3587.46,3600.39,1507010000.00,7/20/2013,92,93.1,89.27,0,1022707665,89.39
3599.87,3601.92,3587.46,3600.39,1507010000.00,7/21/2013,89.82,91.95,88,0,1038798980,90.76
3599.87,3601.92,3587.46,3600.39,1507010000.00,7/22/2013,92,92,90.08,0,1048939081,91.61
3606.70,3606.70,3576.96,3579.27,1620350000.00,7/23/2013,91.6,96.82,91.6,0,1094484058,95.56
3605.26,3606.28,3573.53,3579.60,1856660000.00,7/24/2013,95.56,95.99,93,0,1082848325,94.51
3589.46,3606.19,3579.20,3605.19,2203970000.00,7/25/2013,94.5,97.33,93.87,0,1110587858,96.9
3584.85,3613.33,3581.26,3613.16,1796060000.00,7/26/2013,96.95,97.47,96,0,1100902800,96.02
3604.29,3618.86,3592.80,3599.14,1545720000.00,7/27/2013,96.02,97,93,0,1079491697,94.12
3604.29,3618.86,3592.80,3599.14,1545720000.00,7/28/2013,94.4,100.58,94,0,1144602838,99.76
3604.29,3618.86,3592.80,3599.14,1545720000.00,7/29/2013,98.6,102.5,98.46,0,1161619140,101.2
3612.36,3629.12,3606.33,3616.47,1763580000.00,7/30/2013,101.49,107.99,100.47,0,1240092366,107.99
3627.66,3649.35,3624.77,3626.37,1942380000.00,7/31/2013,107.95,111.34,103.88,0,1218777834,106.09
3654.18,3678.50,3653.74,3675.74,1863290000.00,8/1/2013,106.21,108,103.01,0,1195225200,104
3671.11,3689.59,3663.88,3689.59,1683270000.00,8/2/2013,104.86,108,101.21,0,1201487185,104.5
3682.67,3694.19,3681.34,3692.95,1471860000.00,8/3/2013,104.5,105.78,102,0,1196226508,104
3682.67,3694.19,3681.34,3692.95,1471860000.00,8/4/2013,104.95,105.95,103.52,0,1209797378,105.14
3682.67,3694.19,3681.34,3692.95,1471860000.00,8/5/2013,105.12,107.77,105,0,1222677176,106.22
3685.39,3690.32,3654.67,3665.77,1444200000.00,8/6/2013,106.72,107.38,105.56,0,1229098150,106.75
3658.53,3663.20,3633.59,3654.01,1659780000.00,8/7/2013,106.75,106.75,106.75,0,1229098150,106.75
3672.21,3675.71,3649.64,3669.12,1702950000.00,8/8/2013,106.75,106.75,101.26,0,1187105900,103
3664.27,3677.83,3649.69,3660.11,1546570000.00,8/9/2013,103.07,105.75,101.93,0,1185307130,102.8
3645.78,3673.51,3645.39,3669.95,1422420000.00,8/10/2013,102.8,103.9,102.41,0,1188153925,103
3645.78,3673.51,3645.39,3669.95,1422420000.00,8/11/2013,103,105.19,102.75,0,1211789250,105
3645.78,3673.51,3645.39,3669.95,1422420000.00,8/12/2013,105,108,103.5,0,1231248581,106.64
3675.37,3691.06,3648.82,3684.44,1644730000.00,8/13/2013,106.99,109.35,104.65,0,1259042650,109
3683.97,3686.55,3668.74,3669.27,1589370000.00,8/14/2013,109.56,115,108,0,1300656724,112.56
3625.36,3626.77,3600.96,3606.12,1742510000.00,8/15/2013,112.56,113.25,109,0,1271404657,109.99
3603.78,3621.46,3598.65,3602.78,1520430000.00,8/16/2013,110,112.3,108.52,0,1260352119,108.99
3601.88,3623.48,3589.03,3589.09,1381050000.00,8/17/2013,108.99,113.75,108.22,0,1312996375,113.5
3601.88,3623.48,3589.03,3589.09,1381050000.00,8/18/2013,112.75,114.69,112,0,1313544013,113.5
