RMSE7030Nas,MSE7030Nas,MAE7030Nas,RMSE8020,MSE8020,MAE8020
75.95669826,6171.655957,23.28157558,69.20177325,5042.89757,21.49389335
77.70687194,6362.981472,23.66484615,68.55506322,4967.516024,20.96274815
80.2951603,7047.198206,23.96082578,66.63023293,4838.803117,21.14531097
75.22767329,6049.821189,23.34916156,66.94362136,4829.701981,20.91870646
75.64841846,6027.120928,23.09476042,67.03231756,4854.600307,20.99771426
81.02093902,7223.327758,23.92600718,65.35397355,4706.882309,20.77883967
75.1665446,6167.634209,23.08798019,67.22531326,4896.306181,21.15271363
75.52664087,6225.872643,22.89574608,67.77611007,4910.268742,21.04650702
76.41219144,6246.201886,23.40939999,65.76572493,4743.399707,20.5529072
76.18065014,6187.539597,23.35712648,68.69097777,5079.13007,20.99183937
78.52588471,6578.832082,23.71118355,65.73169095,4722.493955,20.53692101
76.3194777,6306.684887,23.47860262,69.65648538,5384.092558,21.48201551
74.45149131,5924.632297,22.80101333,70.03569287,5336.29499,21.41693253
74.94598316,5941.124392,23.00192831,67.11701791,4998.175642,21.25820756
77.18755454,6548.401988,23.31887969,66.11199444,4624.415002,20.95679803
74.30088488,5800.676767,23.04422385,66.75140045,4767.534561,20.87686939
77.31760532,6427.127858,23.64227328,67.22784983,4906.433642,21.10440676
74.86163029,5897.946829,23.08954018,69.62827888,5286.448769,21.24893506
77.23408305,6355.124516,23.74113252,68.20372287,5012.313116,21.19138963
77.89062809,6360.493961,23.75308262,67.60106777,4835.248873,21.34849493
74.0730247,5777.071278,22.90594566,68.2799017,4990.675857,20.77435603
82.26146145,7620.705627,24.38594715,69.65155172,5194.609068,21.50434662
73.90208184,5865.871685,22.62272674,67.36737189,4896.494261,21.07116014
76.80265284,6237.241588,23.20722263,69.03085731,5095.047878,21.20310301
74.49005445,5870.788632,23.20619956,70.32766472,5281.253467,21.48822161
77.62338648,6486.018491,23.36911018,73.9653263,5922.347759,22.30056839
76.31982623,6194.160492,23.18095187,68.10785248,4912.725046,21.34565964
77.67359857,6421.876569,23.6191219,69.77221432,5340.887527,21.38416167
80.082493,6789.619729,24.21716775,66.8713403,4721.388953,20.65880735
71.49116143,5356.130275,22.51690654,69.43114762,5262.982407,21.25572845
72.95993946,5601.170472,22.71203648,69.11490286,5234.195911,21.37709916
77.55145812,6394.778713,23.45606624,71.64499097,5644.917377,21.77176374
75.0707673,6059.31154,22.92223433,67.0622424,4807.850047,21.14454695
73.93569642,5711.793979,22.94821581,68.7077396,5153.569887,21.35269126
74.59353585,5937.753404,23.0931867,66.5674131,4677.864119,20.71063765
79.23312931,6739.208037,23.42216802,70.5357076,5329.402044,21.60892326
74.59321172,5903.754075,23.13788162,69.95921444,5198.264243,21.65711183
77.67319453,6450.95654,23.5144195,67.89892462,4978.377164,21.13972268
75.71128858,6159.981523,23.20013048,66.58430261,4746.901509,20.84713731
74.29238185,5818.596849,22.85278661,65.47357408,4560.105776,20.99195263
77.9035002,6427.26284,23.90352718,67.21077941,4859.139527,21.06917936
77.17935435,6411.197319,23.39985736,69.54874043,5258.718432,21.45499579
75.25162496,6033.644833,23.16303751,66.22684512,4814.013449,20.53468794
70.56623154,5312.429628,22.15439615,68.39127419,4976.339575,21.33074644
78.51651643,6581.383518,23.61476297,67.19437372,4948.696879,20.85677958
74.84351758,5992.12356,22.97876735,71.4535395,5460.949139,21.55231571
78.4461249,6500.097349,23.65423671,71.77304212,5564.091092,21.79340869
75.91429477,6112.656938,23.57350434,67.47246745,4918.374286,21.01818086
73.7546131,5811.085699,22.75419129,72.61549862,5779.092688,21.73783991
77.21554843,6309.485667,23.705296,66.52830634,4721.360435,20.86601488
76.80420456,6368.654525,23.65061019,71.29476467,5550.191692,21.33491069
78.13953034,6605.760503,23.6284583,66.54012948,4758.323695,20.79945857
73.57745731,5679.731662,22.83339624,65.50063905,4580.065489,20.7204482
77.5051175,6482.364174,23.73913924,63.12300279,4203.321232,20.52375606
78.38656293,6659.882089,23.76249382,67.68931305,4968.437268,20.94699819
75.99563257,6145.116754,23.0763299,69.62837376,5275.34188,21.48079339
78.64301022,6663.854361,23.68512277,68.59465074,5097.344927,21.22499621
75.30977154,5936.826209,23.21721905,72.21099691,5725.676462,21.57070154
75.75550845,6239.605588,23.09122549,67.87362298,4958.00426,21.18091258
76.62242427,6196.211204,23.57333035,66.73327309,4770.035951,20.76918984
76.59051543,6340.800292,23.4667972,66.97913915,5021.375545,20.96600947
74.91513593,6040.410065,22.85291947,67.07840881,4783.462378,20.93459904
77.93998376,6694.452168,23.45829618,66.01231703,4641.99782,20.78068468
77.38604869,6382.239565,23.4531006,65.16627949,4629.824724,20.60631305
75.10358294,5907.00762,22.92805875,70.43920469,5268.905239,21.4657452
79.49268543,6697.587648,23.88484333,70.47168898,5450.54515,21.48356706
75.2892626,6080.418545,23.27932776,68.08576888,4923.877646,21.10950671
75.78641601,6062.2977,23.374872,68.47824394,5082.249406,20.91462817
77.52367043,6422.276268,23.62448682,66.86902141,4834.712256,20.80759592
76.60919698,6164.037316,23.62773982,67.07126059,4881.293351,20.93068922
74.36575946,5813.709051,23.08352853,67.36705153,5013.195542,20.57139958
76.69197827,6212.852064,23.53255411,67.47175763,4867.002865,20.85250959
76.15687285,6145.220743,23.16098874,67.91664818,5329.326731,20.88855436
79.41950187,6884.8359,24.04166411,67.06317127,4810.128872,21.13419974
76.94595194,6447.336681,23.26970574,68.90337542,5189.248621,21.40007631
76.10047112,6195.057647,23.22620136,67.02993218,4937.800677,20.74239684
75.05248014,6104.909532,23.03262782,67.59728824,5010.414155,20.79744351
76.55296857,6283.171408,23.06485207,65.75190091,4621.527641,20.76938763
78.82554439,6666.091739,23.54074856,65.93578121,4665.268341,20.93512889
75.34386055,5997.014788,23.23355776,68.10172731,4899.892487,21.17007036
78.10788562,6571.614562,23.5405648,65.91347123,4672.616352,20.60213901
72.69404977,5535.461031,22.84067556,63.51870647,4304.031427,20.45792862
73.43326057,5722.436732,22.60747718,66.41753107,4749.913828,20.87057613
73.5225726,5758.309295,22.66946573,69.44547127,5336.614559,21.22030756
75.59490137,6098.359053,23.25960507,68.06855663,5063.721459,21.32685454
78.80842505,6632.374798,23.75295039,65.2560934,4512.36476,20.7971365
76.12884792,6194.366241,23.32094004,64.2445515,4373.158093,20.55298806
76.44732202,6460.769287,23.37616319,68.68563605,5205.297699,21.26056963
72.70600157,5570.082818,22.78037866,67.16795552,4803.404579,20.94251594
75.81557245,6118.712398,23.12781479,65.74668196,4699.610171,20.54751205
78.80238399,6634.866794,23.41268651,69.92267838,5330.885855,21.11957986
76.2909099,6264.536941,23.18862971,70.18716175,5370.375062,21.47164439
76.9470457,6587.594445,23.21060399,67.29657896,4894.136567,20.84522146
74.20351157,5780.136846,22.9130617,69.99180963,5264.765429,21.28085125
75.26571442,5938.018187,23.27845401,67.33069445,4769.503677,21.05609677
76.1321722,6169.036236,23.28662233,64.68884093,4459.51013,20.40162262
74.86188141,5920.788254,23.12671221,66.65255,4700.027963,21.38713366
77.55565133,6505.046083,23.20792345,67.73959432,5066.629863,21.08422268
77.26489147,6345.449267,23.45351263,66.69103332,4780.295485,20.74164608
79.12875234,6778.754752,23.2131851,68.87808523,5125.119194,21.10420299
74.15200446,5771.628654,22.93833273,64.89709373,4549.324984,20.47575413
77.36326657,6451.772402,23.31011925,64.68842516,4524.735902,20.19501075
72.53696179,5656.372749,22.76926841,67.38140304,4895.946851,20.92523008
75.56696263,6048.160305,23.29135254,67.0868824,4839.232907,20.99650118
75.71197953,6091.539795,23.17786729,66.0675492,4795.943655,20.40848253
78.49830501,6659.695979,23.58331495,64.8124079,4577.532484,20.18542923
74.2333293,5820.860022,22.87742121,70.58161547,5280.422913,21.64823997
78.55106478,6613.74279,23.5384052,66.28622907,4624.604251,20.83612252
74.1331822,5858.344977,22.99022991,68.44901605,5136.264129,21.03315907
78.80791378,6949.204447,23.88135591,68.36657036,4959.564155,21.23756247
77.07151629,6466.142565,23.24453644,69.81962006,5244.237051,21.57700342
78.78688234,6694.534402,23.42793318,66.87333587,4811.945392,20.80670045
72.98371477,5570.974467,23.12196423,69.52116846,5110.234331,21.39333077
71.26867706,5286.410097,22.37392972,67.69669747,4959.979597,20.97117891
76.06482056,6232.937549,23.35952154,69.38780884,5201.105966,21.23692051
71.58227573,5361.606802,22.33192175,68.61058666,5206.382121,21.2008606
75.76321197,6024.826098,23.26316332,71.16506375,5693.087426,21.50252131
76.380811,6320.410287,23.22634122,66.95737565,4831.672828,21.09261602
76.91621252,6275.650806,23.13003714,69.42023948,5441.097929,20.86676572
71.3431682,5335.761087,22.57885061,69.74693542,5330.722002,21.42189867
77.08607735,6349.370966,23.26597688,64.43404179,4502.19159,20.26590652
74.72794676,5881.927005,22.71161799,69.98209142,5355.575266,21.33595291
76.13228059,6265.288637,23.36708902,67.11098457,4808.942386,20.99907224
75.09444876,6176.116702,22.94702453,64.5607726,4385.94154,20.63617598
75.61324862,6152.456407,22.9766491,66.09207844,4740.128421,20.74320665
75.82561471,6023.337434,23.22140954,66.83894805,4867.750188,20.93226582
76.48544432,6331.927141,23.09395664,64.55862257,4465.663496,20.78267482
79.18924142,6621.001732,23.8473368,64.29820086,4473.371097,20.62936663
76.13381672,6273.624025,23.4205588,63.78886032,4335.215638,20.16095914
74.58517798,5913.895166,22.93724216,68.15743239,5013.78905,21.08195868
74.08089683,5790.199161,22.9805977,64.04743505,4385.773738,20.31101368
75.5009883,6049.825858,23.20060026,65.57556121,4781.456828,20.87737879
74.08915696,5823.885688,22.91355307,65.4245201,4734.278214,20.54449077
76.43882996,6163.359981,23.64509447,65.81812034,4656.267117,20.55025908
73.90341622,5815.124312,22.93772389,67.42648769,4834.241866,20.80505384
73.27789595,5610.927785,22.55369034,65.26848366,4515.491761,20.44609743
71.65865752,5367.704413,22.64263928,66.64109003,4736.248178,20.7668294
75.46784152,5989.959314,23.24829779,65.7998648,4641.365848,20.13502013
76.7698947,6198.990176,23.58650541,67.00006988,4820.874323,20.88171852
75.65564626,6164.832718,23.33458887,66.62960834,4837.232232,20.92765975
76.82535126,6430.731933,23.49552675,65.43520565,4509.937677,20.46677549
74.37459061,5843.88859,22.78960406,67.57329945,4824.044302,20.94279037
76.60083157,6182.56884,23.22188287,67.54386826,4896.867494,20.43622729
78.51136324,6577.991024,23.99837352,67.03030079,4777.851618,20.69639186
76.40335662,6371.513989,23.08264598,65.36061129,4617.263482,20.75565395
74.84883544,5970.082789,23.04616407,66.34810552,4667.19739,20.81206095
