Date,Open,High,Low,Volume,MarketCap,ETHOpen,ETHHigh,ETHLow,ETHClose,ETHVolume,ETHMarketCap,Close
28-Apr-13,135.3,135.98,132.1,0,1488566728,0,0,0,0,0,0,134.21
29-Apr-13,134.44,147.49,134,0,1603768865,0,0,0,0,0,0,144.54
30-Apr-13,144,146.93,134.05,0,1542813125,0,0,0,0,0,0,139
1-May-13,139,139.89,107.72,0,1298954594,0,0,0,0,0,0,116.99
2-May-13,116.38,125.6,92.28,0,1168517495,0,0,0,0,0,0,105.21
3-May-13,106.25,108.13,79.1,0,1085995169,0,0,0,0,0,0,97.75
4-May-13,98.1,115,92.5,0,1250316563,0,0,0,0,0,0,112.5
5-May-13,112.9,118.8,107.14,0,1288693176,0,0,0,0,0,0,115.91
6-May-13,115.98,124.66,106.64,0,1249023060,0,0,0,0,0,0,112.3
7-May-13,112.25,113.44,97.7,0,1240593600,0,0,0,0,0,0,111.5
8-May-13,109.6,115.78,109.6,0,1264049202,0,0,0,0,0,0,113.57
9-May-13,113.2,113.46,109.26,0,1254535382,0,0,0,0,0,0,112.67
10-May-13,112.8,122,111.55,0,1305479080,0,0,0,0,0,0,117.2
11-May-13,117.7,118.68,113.01,0,1284207489,0,0,0,0,0,0,115.24
12-May-13,115.64,117.45,113.43,0,1281982625,0,0,0,0,0,0,115
13-May-13,114.82,118.7,114.5,0,1315710011,0,0,0,0,0,0,117.98
14-May-13,117.98,119.8,110.25,0,1243874488,0,0,0,0,0,0,111.5
15-May-13,111.4,115.81,103.5,0,1274623813,0,0,0,0,0,0,114.22
16-May-13,114.22,118.76,112.2,0,1325726787,0,0,0,0,0,0,118.76
17-May-13,118.21,125.3,116.57,0,1373723882,0,0,0,0,0,0,123.01
18-May-13,123.5,125.25,122.3,0,1379574546,0,0,0,0,0,0,123.5
19-May-13,123.21,124.5,119.57,0,1363204703,0,0,0,0,0,0,121.99
20-May-13,122.5,123.62,120.12,0,1363709900,0,0,0,0,0,0,122
21-May-13,122.02,123,121.21,0,1374013440,0,0,0,0,0,0,122.88
22-May-13,122.89,124,122,0,1385778993,0,0,0,0,0,0,123.89
23-May-13,123.8,126.93,123.1,0,1417769833,0,0,0,0,0,0,126.7
24-May-13,126.3,133.85,125.72,0,1491070770,0,0,0,0,0,0,133.2
25-May-13,133.1,133.22,128.9,0,1477958233,0,0,0,0,0,0,131.98
26-May-13,131.99,136,130.62,0,1495293015,0,0,0,0,0,0,133.48
27-May-13,133.5,135.46,124.7,0,1454029510,0,0,0,0,0,0,129.74
28-May-13,129.77,130.58,125.6,0,1446189975,0,0,0,0,0,0,129
29-May-13,129,132.59,127.66,0,1483734578,0,0,0,0,0,0,132.3
30-May-13,132.25,132.25,127,0,1445053941,0,0,0,0,0,0,128.8
31-May-13,128.8,129.9,126.4,0,1447870200,0,0,0,0,0,0,129
1-Jun-13,128.82,129.78,127.2,0,1451916165,0,0,0,0,0,0,129.3
2-Jun-13,129.3,129.4,115.05,0,1373837500,0,0,0,0,0,0,122.29
3-Jun-13,122.5,122.5,116,0,1373708058,0,0,0,0,0,0,122.22
4-Jun-13,120.74,123.84,119.1,0,1365337545,0,0,0,0,0,0,121.42
5-Jun-13,121.4,123.47,119.9,0,1368486469,0,0,0,0,0,0,121.65
6-Jun-13,121.9,123.1,117.25,0,1327960200,0,0,0,0,0,0,118
7-Jun-13,118.97,119,106.42,0,1255258638,0,0,0,0,0,0,111.5
8-Jun-13,111,111.42,107.3,0,1219717920,0,0,0,0,0,0,108.3
9-Jun-13,107.89,108.99,88.5,0,1126642500,0,0,0,0,0,0,100
10-Jun-13,100.44,110.1,95,0,1198638945,0,0,0,0,0,0,106.35
11-Jun-13,106.35,109.6,104,0,1227874725,0,0,0,0,0,0,108.9
12-Jun-13,109,111.79,106.73,0,1219969853,0,0,0,0,0,0,108.15
13-Jun-13,108.78,110.3,100.53,0,1173637400,0,0,0,0,0,0,104
14-Jun-13,103.95,104.7,98,0,1128709292,0,0,0,0,0,0,99.98
15-Jun-13,100,103.7,98,0,1129245604,0,0,0,0,0,0,99.99
16-Jun-13,99.8,101.6,98.95,0,1124306272,0,0,0,0,0,0,99.51
17-Jun-13,99.9,102.21,99,0,1149418485,0,0,0,0,0,0,101.7
18-Jun-13,101.95,111.11,101.03,0,1214216070,0,0,0,0,0,0,107.4
19-Jun-13,107.05,110.22,105.75,0,1224193838,0,0,0,0,0,0,108.25
20-Jun-13,108.25,114.3,107.5,0,1246104920,0,0,0,0,0,0,110.15
21-Jun-13,111.29,114.99,107.68,0,1239214238,0,0,0,0,0,0,109.5
22-Jun-13,109.5,109.96,107.51,0,1226110328,0,0,0,0,0,0,108.3
23-Jun-13,108.2,108.8,106.23,0,1218626490,0,0,0,0,0,0,107.6
24-Jun-13,107.9,108.33,100.98,0,1163935726,0,0,0,0,0,0,102.74
25-Jun-13,102.09,106.47,101.01,0,1178086140,0,0,0,0,0,0,103.95
26-Jun-13,103.33,105.49,102.79,0,1179105200,0,0,0,0,0,0,104
27-Jun-13,104,104,101.1,0,1150468023,0,0,0,0,0,0,101.44
28-Jun-13,101.74,101.74,92.33,0,1073887457,0,0,0,0,0,0,94.65
29-Jun-13,94.66,99.99,93,0,1078198524,0,0,0,0,0,0,94.99
30-Jun-13,95,98.12,94.22,0,1096957771,0,0,0,0,0,0,96.61
1-Jul-13,97.51,97.66,86.3,0,1000065296,0,0,0,0,0,0,88.05
2-Jul-13,88.05,92.3,87.51,0,1024082228,0,0,0,0,0,0,90.13
3-Jul-13,90.4,90.98,76.98,0,881233116,0,0,0,0,0,0,77.53
4-Jul-13,78.89,83.11,72,0,915618609,0,0,0,0,0,0,80.53
5-Jul-13,79.99,80,65.53,0,778411179,0,0,0,0,0,0,68.43
6-Jul-13,68.5,75,66.82,0,799741619,0,0,0,0,0,0,70.28
7-Jul-13,68.75,74.56,66.62,0,848838979,0,0,0,0,0,0,74.56
8-Jul-13,76.5,80,72.6,0,871457940,0,0,0,0,0,0,76.52
9-Jul-13,76,78.3,72.52,0,873841849,0,0,0,0,0,0,76.69
10-Jul-13,76.72,87,76.2,0,988957719,0,0,0,0,0,0,86.76
11-Jul-13,88,90.28,85.08,0,1014650063,0,0,0,0,0,0,88.98
12-Jul-13,88.98,104,88.17,0,1067634684,0,0,0,0,0,0,93.59
13-Jul-13,93.99,98.25,88.06,0,1119796120,0,0,0,0,0,0,98.13
14-Jul-13,98.7,98.7,92.86,0,1080917760,0,0,0,0,0,0,94.69
15-Jul-13,93.61,101.9,93.11,0,1123658944,0,0,0,0,0,0,98.4
16-Jul-13,98.89,99.86,96.14,0,1113217032,0,0,0,0,0,0,97.45
17-Jul-13,96.71,99.97,96.18,0,1125658000,0,0,0,0,0,0,98.5
18-Jul-13,98.5,98.8,86.2,0,1035512825,0,0,0,0,0,0,90.58
19-Jul-13,90.07,95.2,87.8,0,1054083771,0,0,0,0,0,0,92.17
20-Jul-13,92,93.1,89.27,0,1022707665,0,0,0,0,0,0,89.39
21-Jul-13,89.82,91.95,88,0,1038798980,0,0,0,0,0,0,90.76
22-Jul-13,92,92,90.08,0,1048939081,0,0,0,0,0,0,91.61
23-Jul-13,91.6,96.82,91.6,0,1094484058,0,0,0,0,0,0,95.56
24-Jul-13,95.56,95.99,93,0,1082848325,0,0,0,0,0,0,94.51
25-Jul-13,94.5,97.33,93.87,0,1110587858,0,0,0,0,0,0,96.9
26-Jul-13,96.95,97.47,96,0,1100902800,0,0,0,0,0,0,96.02
27-Jul-13,96.02,97,93,0,1079491697,0,0,0,0,0,0,94.12
28-Jul-13,94.4,100.58,94,0,1144602838,0,0,0,0,0,0,99.76
29-Jul-13,98.6,102.5,98.46,0,1161619140,0,0,0,0,0,0,101.2
30-Jul-13,101.49,107.99,100.47,0,1240092366,0,0,0,0,0,0,107.99
31-Jul-13,107.95,111.34,103.88,0,1218777834,0,0,0,0,0,0,106.09
1-Aug-13,106.21,108,103.01,0,1195225200,0,0,0,0,0,0,104
2-Aug-13,104.86,108,101.21,0,1201487185,0,0,0,0,0,0,104.5
3-Aug-13,104.5,105.78,102,0,1196226508,0,0,0,0,0,0,104
4-Aug-13,104.95,105.95,103.52,0,1209797378,0,0,0,0,0,0,105.14
5-Aug-13,105.12,107.77,105,0,1222677176,0,0,0,0,0,0,106.22
6-Aug-13,106.72,107.38,105.56,0,1229098150,0,0,0,0,0,0,106.75
7-Aug-13,106.75,106.75,106.75,0,1229098150,0,0,0,0,0,0,106.75
8-Aug-13,106.75,106.75,101.26,0,1187105900,0,0,0,0,0,0,103
9-Aug-13,103.07,105.75,101.93,0,1185307130,0,0,0,0,0,0,102.8
10-Aug-13,102.8,103.9,102.41,0,1188153925,0,0,0,0,0,0,103
11-Aug-13,103,105.19,102.75,0,1211789250,0,0,0,0,0,0,105
12-Aug-13,105,108,103.5,0,1231248581,0,0,0,0,0,0,106.64
13-Aug-13,106.99,109.35,104.65,0,1259042650,0,0,0,0,0,0,109
14-Aug-13,109.56,115,108,0,1300656724,0,0,0,0,0,0,112.56
15-Aug-13,112.56,113.25,109,0,1271404657,0,0,0,0,0,0,109.99
16-Aug-13,110,112.3,108.52,0,1260352119,0,0,0,0,0,0,108.99
17-Aug-13,108.99,113.75,108.22,0,1312996375,0,0,0,0,0,0,113.5
18-Aug-13,112.75,114.69,112,0,1313544013,0,0,0,0,0,0,113.5
19-Aug-13,113.38,123.06,111.77,0,1377725475,0,0,0,0,0,0,119
20-Aug-13,119,123.01,117.51,0,1403829641,0,0,0,0,0,0,121.21
21-Aug-13,121.21,124.91,119.68,0,1428698678,0,0,0,0,0,0,123.3
22-Aug-13,123.3,123.5,120.6,0,1404437433,0,0,0,0,0,0,121.15
23-Aug-13,122,122,118.44,0,1374309422,0,0,0,0,0,0,118.5
24-Aug-13,118.51,121.39,118.02,0,1392768092,0,0,0,0,0,0,120.04
25-Aug-13,119.6,122.99,119.17,0,1417198897,0,0,0,0,0,0,122.11
26-Aug-13,122.11,122.75,119.93,0,1393847159,0,0,0,0,0,0,120.06
27-Aug-13,120.07,127.24,120.07,0,1469193138,0,0,0,0,0,0,126.5
28-Aug-13,126.48,127.32,122.62,0,1424675798,0,0,0,0,0,0,122.62
29-Aug-13,122.62,123.7,122.21,0,1422584866,0,0,0,0,0,0,122.39
30-Aug-13,122.35,135.75,120.99,0,1552288465,0,0,0,0,0,0,133.49
31-Aug-13,133.09,140.89,132.72,0,1574672051,0,0,0,0,0,0,135.35
1-Sep-13,135.14,145.81,134.81,0,1610215347,0,0,0,0,0,0,138.34
2-Sep-13,138.63,146.5,134.89,0,1581969854,0,0,0,0,0,0,135.85
3-Sep-13,135.61,138.34,133,0,1593346565,0,0,0,0,0,0,136.77
4-Sep-13,136.53,144.5,123.61,0,1477012118,0,0,0,0,0,0,126.74
5-Sep-13,126.76,131.44,121.83,0,1473965191,0,0,0,0,0,0,126.43
6-Sep-13,126.49,127.34,119.15,0,1389646450,0,0,0,0,0,0,119.15
7-Sep-13,118.89,125.94,118.46,0,1448411494,0,0,0,0,0,0,124.15
8-Sep-13,124.13,124.72,120.49,0,1419836072,0,0,0,0,0,0,121.66
9-Sep-13,121.86,129.06,119.75,0,1484085516,0,0,0,0,0,0,127.11
10-Sep-13,127.27,129.74,125.9,0,1470679164,0,0,0,0,0,0,125.91
11-Sep-13,125.89,137.83,123.27,0,1580450350,0,0,0,0,0,0,135.25
12-Sep-13,135.55,136.08,131.81,0,1556386219,0,0,0,0,0,0,133.13
13-Sep-13,132.83,137.58,132.27,0,1578699084,0,0,0,0,0,0,134.98
14-Sep-13,135.01,135.85,128.87,0,1512038756,0,0,0,0,0,0,129.22
15-Sep-13,129.4,131.44,128.26,0,1526085146,0,0,0,0,0,0,130.37
16-Sep-13,130.86,132.72,129.77,0,1542395098,0,0,0,0,0,0,131.72
17-Sep-13,131.59,132.76,124.89,0,1542278406,0,0,0,0,0,0,131.66
18-Sep-13,131.71,133.2,130.54,0,1540598328,0,0,0,0,0,0,131.47
19-Sep-13,131.37,131.77,128.45,0,1519883709,0,0,0,0,0,0,129.65
20-Sep-13,129.7,135.62,126.68,0,1489921944,0,0,0,0,0,0,127.04
21-Sep-13,126.95,128.61,126.24,0,1495101147,0,0,0,0,0,0,127.43
22-Sep-13,127.87,133.94,126.59,0,1515584736,0,0,0,0,0,0,129.12
23-Sep-13,128.98,132.73,125.66,0,1479037148,0,0,0,0,0,0,125.95
24-Sep-13,126.05,127.46,125.39,0,1494974356,0,0,0,0,0,0,127.25
25-Sep-13,127.38,129.69,127.33,0,1507033770,0,0,0,0,0,0,128.22
26-Sep-13,128.21,134.93,127.32,0,1509434269,0,0,0,0,0,0,128.38
27-Sep-13,128.94,134.74,128.49,0,1573520360,0,0,0,0,0,0,133.78
28-Sep-13,133.77,135.63,132.56,0,1585878762,0,0,0,0,0,0,134.78
29-Sep-13,134.9,140.61,134.71,0,1616584505,0,0,0,0,0,0,137.34
30-Sep-13,137.15,138.35,130.27,0,1566038425,0,0,0,0,0,0,133
1-Oct-13,132.68,134.63,131.55,0,1557001092,0,0,0,0,0,0,132.18
2-Oct-13,132.05,133.59,102.25,0,1344930746,0,0,0,0,0,0,114.13
3-Oct-13,114.45,123.63,111.82,0,1457492615,0,0,0,0,0,0,123.63
4-Oct-13,123.41,130.09,123.41,0,1521498787,0,0,0,0,0,0,129.01
5-Oct-13,128.63,130.44,128.03,0,1516777519,0,0,0,0,0,0,128.55
6-Oct-13,128.36,129.66,126.15,0,1522686975,0,0,0,0,0,0,129
7-Oct-13,129.43,130.27,126.36,0,1498859918,0,0,0,0,0,0,126.94
8-Oct-13,126.74,127.47,124.71,0,1488277350,0,0,0,0,0,0,126
9-Oct-13,125.85,131.75,125.58,0,1544249376,0,0,0,0,0,0,130.69
10-Oct-13,130.67,131.5,129.26,0,1543701125,0,0,0,0,0,0,130.59
11-Oct-13,130.75,131.81,129.64,0,1547971040,0,0,0,0,0,0,130.9
12-Oct-13,130.9,135.66,130.56,0,1599426131,0,0,0,0,0,0,135.19
13-Oct-13,135.19,138.66,134.55,0,1634968839,0,0,0,0,0,0,138.13
14-Oct-13,139.27,144.12,138.9,0,1664129178,0,0,0,0,0,0,140.52
15-Oct-13,140.77,145.39,139.13,0,1720981439,0,0,0,0,0,0,145.24
16-Oct-13,145.65,152.23,142.43,0,1689851848,0,0,0,0,0,0,142.55
17-Oct-13,142.41,147.42,142.41,0,1734327563,0,0,0,0,0,0,146.25
18-Oct-13,146.37,155.96,145.57,0,1850219763,0,0,0,0,0,0,155.96
19-Oct-13,155.91,177.48,155.7,0,2046457291,0,0,0,0,0,0,172.42
20-Oct-13,171.66,174.91,168.95,0,2073319140,0,0,0,0,0,0,174.61
21-Oct-13,174.8,184.82,174.8,0,2164518143,0,0,0,0,0,0,182.21
22-Oct-13,182.65,196.27,182.65,0,2302910260,0,0,0,0,0,0,193.76
23-Oct-13,193.36,213.62,192.38,0,2540139399,0,0,0,0,0,0,213.62
24-Oct-13,214.3,217.42,168.52,0,2358198593,0,0,0,0,0,0,198.23
25-Oct-13,197.69,198.87,168.5,0,2222012384,0,0,0,0,0,0,186.69
26-Oct-13,187.45,188.41,175.75,0,2111296044,0,0,0,0,0,0,177.32
27-Oct-13,176.6,196.44,176.6,0,2339831217,0,0,0,0,0,0,196.44
28-Oct-13,196.21,198.62,192.06,0,2365837416,0,0,0,0,0,0,198.55
29-Oct-13,198.55,204.79,198.55,0,2436241934,0,0,0,0,0,0,204.39
30-Oct-13,204.39,209.16,199.97,0,2384492273,0,0,0,0,0,0,199.97
31-Oct-13,199.83,205.18,198.85,0,2433658800,0,0,0,0,0,0,204
1-Nov-13,203.9,206.65,202.13,0,2460742837,0,0,0,0,0,0,206.18
2-Nov-13,205.81,207.76,201.65,0,2462261645,0,0,0,0,0,0,206.22
3-Nov-13,205.99,215.05,203.99,0,2568713111,0,0,0,0,0,0,215.05
4-Nov-13,214.66,231.01,213.94,0,2737659088,0,0,0,0,0,0,229.1
5-Nov-13,229.21,250.66,226.22,0,2931598960,0,0,0,0,0,0,245.24
6-Nov-13,244.78,263,244.78,0,3138994688,0,0,0,0,0,0,262.5
7-Nov-13,261.68,304.17,261.55,0,3545560087,0,0,0,0,0,0,296.41
